max = 5.695900 ; min = -0.537800

t; a_z 
2648.663000; 1.007700 
2652.665000; 5.253700 
2654.666000; 2.882100 
2656.667000; 5.471500 
2658.454000; 5.107400 
2659.824000; 5.392300 
2661.308000; 4.544200 
2662.288000; 4.820300 
2664.072000; 1.970200 
2666.800000; 3.536600 
2670.802000; 3.048200 
2672.737000; 3.325400 
2677.766000; 1.713900 
2679.765000; 2.133000 
2681.652000; 1.909700 
2682.905000; 2.152800 
2687.178000; 1.292600 
2689.179000; 3.424400 
2699.584000; 0.139800 
2707.588000; 2.668700 
2709.060000; 1.359700 
2712.739000; 2.665400 
2714.137000; 0.775600 
2717.330000; 2.109900 
2721.241000; 1.301400 
2723.159000; 2.944800 
2726.285000; 1.058300 
2728.286000; 1.427900 
2730.287000; 0.771200 
2734.133000; 3.097700 
2736.074000; 1.804100 
2738.028000; 5.063400 
2739.316000; 4.803800 
2741.317000; 5.260300 
2744.971000; 1.639100 
2746.972000; 3.805000 
2748.972000; 3.524500 
2750.954000; 3.812700 
2752.813000; 3.400200 
2754.812000; 3.644400 
2756.300000; 3.279200 
2758.082000; 3.516800 
2758.574000; 3.267100 
2760.575000; 3.547600 
2762.811000; 0.518200 
2765.807000; 2.177000 
2770.117000; 0.139800 
2774.762000; 3.659800 
2777.084000; 1.099000 
2779.085000; 1.432300 
2779.911000; 0.531400 
2783.566000; 4.890700 
2785.462000; 0.413700 
2790.952000; 2.617000 
2796.110000; 0.327900 
2801.834000; 2.874400 
2803.756000; 2.188000 
2804.478000; 2.544400 
2808.480000; 1.574200 
2810.481000; 1.870100 
2816.484000; 0.881200 
2818.447000; 0.927400 
2820.448000; 0.745900 
2824.452000; 1.754600 
2826.453000; 1.748000 
2828.454000; 1.891000 
2830.455000; 0.555600 
2832.456000; 2.863400 
2836.458000; 1.341000 
2840.460000; 3.985400 
2842.461000; 0.419200 
2844.462000; 0.903200 
2846.464000; 0.659000 
2854.468000; 2.491600 
2856.469000; 1.088000 
2859.973000; 3.365000 
2861.504000; 1.882200 
2863.505000; 3.205500 
2865.506000; 1.906400 
2867.507000; 4.353900 
2869.508000; 0.258600 
2871.305000; 0.555600 
2873.301000; 0.322400 
2877.291000; 2.719300 
2881.801000; -0.103300 
2889.779000; 3.844600 
2895.364000; -0.157200 
2897.301000; 0.192600 
2898.628000; -0.108800 
2904.567000; 3.752200 
2914.419000; 0.639200 
2920.351000; 1.743600 
2922.307000; 1.160600 
2926.278000; 2.982200 
2930.061000; 1.677600 
2933.912000; 4.617900 
2935.756000; 2.028500 
2937.316000; 2.266100 
2940.470000; 0.925200 
2941.856000; 1.920700 
2943.771000; 1.269500 
2945.772000; 2.023000 
2950.501000; 1.550000 
2952.321000; 2.162700 
2954.436000; 0.737100 
2964.078000; 4.485900 
2967.793000; 1.011000 
2971.045000; 5.415400 
2973.271000; 1.389400 
2976.685000; 2.822700 
